iter	Passed	Remaining
0	2	233
1	4	198
2	5	189
3	7	174
4	9	174
5	10	167
6	12	162
7	13	158
8	15	156
9	17	154
10	18	151
11	20	148
12	21	144
13	23	142
14	24	138
15	26	136
16	27	133
17	28	131
18	30	128
19	31	125
20	32	122
21	34	120
22	35	118
23	36	115
24	37	112
25	38	110
26	39	107
27	41	105
28	42	103
29	43	101
30	44	99
31	45	97
32	46	95
33	47	93
34	48	90
35	49	88
36	50	86
37	51	84
38	52	82
39	54	81
40	55	79
41	55	77
42	56	75
43	57	73
44	58	72
45	60	70
46	61	68
47	62	67
48	63	66
49	64	64
50	65	63
51	66	61
52	68	60
53	69	59
54	70	57
55	71	55
56	72	54
57	73	53
58	75	52
59	76	51
60	78	50
61	79	48
62	81	47
63	83	46
64	84	45
65	86	44
66	88	43
67	90	42
68	92	41
69	93	40
70	95	38
71	96	37
72	98	36
73	100	35
74	102	34
75	103	32
76	105	31
77	107	30
78	109	29
79	111	27
80	112	26
81	114	25
82	116	23
83	117	22
84	119	21
85	122	19
86	124	18
87	126	17
88	127	15
89	129	14
90	131	12
91	132	11
92	134	10
93	136	8
94	137	7
95	139	5
96	141	4
97	143	2
98	145	1
99	146	0
